event_date,dau
2014-03-19,50
2014-03-20,34
2014-03-21,49
2014-03-22,32
2014-03-23,29
2014-03-24,57
2014-03-25,46
2014-03-26,45
2014-03-27,44
2014-03-28,45
2014-03-29,35
2014-03-30,27
2014-03-31,46
2014-04-01,60
2014-04-02,32
2014-04-03,55
2014-04-04,49
2014-04-05,29
2014-04-06,42
2014-04-07,48
2014-04-08,36
2014-04-09,48
2014-04-10,38
2014-04-11,44
2014-04-12,23
2014-04-13,20
2014-04-14,40
2014-04-15,38
2014-04-16,50
2014-04-17,39
2014-04-18,27
2014-04-19,25
2014-04-20,28
2014-04-21,31
2014-04-22,39
2014-04-23,42
2014-04-24,55
2014-04-25,38
2014-04-26,25
2014-04-27,39
2014-04-28,53
2014-04-29,41
2014-04-30,47
2014-05-01,40
2014-05-02,45
2014-05-03,31
2014-05-04,38
2014-05-05,42
2014-05-06,61
2014-05-07,63
2014-05-08,44
2014-05-09,40
2014-05-10,34
2014-05-11,28
2014-05-12,58
2014-05-13,42
2014-05-14,47
2014-05-15,36
2014-05-16,31
2014-05-17,24
2014-05-18,20
2014-05-19,84
2014-05-20,92
2014-05-21,58
2014-05-22,47
2014-05-23,52
2014-05-24,20
2014-05-25,38
2014-05-26,45
2014-05-27,40
2014-05-28,60
2014-05-29,52
2014-05-30,51
2014-05-31,34
2014-06-01,32
2014-06-02,44
2014-06-03,43
2014-06-04,52
2014-06-05,42
2014-06-06,54
2014-06-07,22
2014-06-08,32
2014-06-09,50
2014-06-10,64
2014-06-11,55
2014-06-12,49
2014-06-13,52
2014-06-14,25
2014-06-15,44
2014-06-16,59
2014-06-17,56
2014-06-18,75
2014-06-19,86
2014-06-20,60
2014-06-21,32
2014-06-22,35
2014-06-23,55
2014-06-24,66
2014-06-25,52
2014-06-26,43
2014-06-27,53
2014-06-28,37
2014-06-29,26
2014-06-30,47
2014-07-01,43
2014-07-02,61
2014-07-03,65
2014-07-04,54
2014-07-05,29
2014-07-06,38
2014-07-07,54
2014-07-08,53
2014-07-09,48
2014-07-10,37
2014-07-11,52
2014-07-12,29
2014-07-13,51
2014-07-14,40
2014-07-15,58
2014-07-16,63
2014-07-17,61
2014-07-18,50
2014-07-19,35
2014-07-20,25
2014-07-21,40
2014-07-22,52
2014-07-23,47
2014-07-24,50
2014-07-25,41
2014-07-26,25
2014-07-27,45
2014-07-28,53
2014-07-29,66
2014-07-30,57
2014-07-31,62
2014-08-01,47
2014-08-02,31
2014-08-03,29
2014-08-04,58
2014-08-05,62
2014-08-06,55
2014-08-07,49
2014-08-08,41
2014-08-09,36
